record_id,country,iso3_code,region,income_group,year,quarter,quarter_label,industry_sector,sector_automation_risk_score,gdp_per_capita_usd,ai_adoption_index,pct_sector_workforce_displaced,pct_sector_workforce_new_roles_created,net_workforce_change_pct,ai_cited_layoff_announcements,ai_skill_wage_premium_pct,pct_workforce_female,pct_displaced_roles_female,reskilling_programs_count,govt_ai_policy_score_1_to_10,ai_tool_adoption_pct,data_source_notes
1,United States,USA,North America,High Income,2020,1,2020-Q1,Technology & Software,0.382,63514,0.83,0.0406,0.0348,-0.0058,32,0.311,0.28,0.275,52,6.4,0.28,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
2,United States,USA,North America,High Income,2020,1,2020-Q1,Finance & Banking,0.608,63514,0.817,0.0517,0.0423,-0.0094,51,0.304,0.48,0.511,39,6.5,0.559,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
3,United States,USA,North America,High Income,2020,1,2020-Q1,Healthcare & Life Sciences,0.198,63514,0.816,0.0176,0.0168,-0.0008,4,0.278,0.72,0.707,37,6.8,0.202,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
4,United States,USA,North America,High Income,2020,1,2020-Q1,Manufacturing & Industry,0.72,63514,0.818,0.0924,0.0642,-0.0282,47,0.268,0.29,0.31,50,6.8,0.655,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
5,United States,USA,North America,High Income,2020,1,2020-Q1,Retail & E-Commerce,0.676,63514,0.828,0.0667,0.0374,-0.0293,31,0.313,0.54,0.547,37,6.2,0.542,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
6,United States,USA,North America,High Income,2020,1,2020-Q1,Education & Research,0.287,63514,0.822,0.029,0.0237,-0.0053,6,0.328,0.58,0.631,39,6.7,0.265,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
7,United States,USA,North America,High Income,2020,1,2020-Q1,Transportation & Logistics,0.694,63514,0.81,0.0713,0.0645,-0.0068,43,0.273,0.22,0.214,40,6.4,0.487,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
8,United States,USA,North America,High Income,2020,1,2020-Q1,Media & Communications,0.565,63514,0.843,0.0507,0.0416,-0.0091,25,0.289,0.46,0.48,52,6.5,0.475,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
9,United States,USA,North America,High Income,2020,1,2020-Q1,Administrative & Clerical,0.793,63514,0.819,0.1044,0.0736,-0.0308,62,0.344,0.79,0.95,53,6.6,0.546,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
10,United States,USA,North America,High Income,2020,1,2020-Q1,Energy & Utilities,0.443,63514,0.805,0.039,0.0216,-0.0174,13,0.263,0.26,0.274,53,7.3,0.291,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
11,United States,USA,North America,High Income,2020,2,2020-Q2,Technology & Software,0.368,63263,0.821,0.0434,0.0353,-0.0081,22,0.271,0.28,0.292,43,7.3,0.282,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
